﻿﻿Garden_Name,Address,Suburb,Phone,Website,Latitude,Longitude,geolocation
Abbeville Street Community Garden - Grow for life,"Abbeville Street Park, 41 Abbeville St, Upper Mount Gravatt",Upper Mount Gravatt,,https://www.facebook.com/GrowForLifeGarden/,-27.544471,153.088056,"-27.544471, 153.088056"
Acacia Ridge Community Garden,"21 Hanify Street, Acacia Ridge",Acacia Ridge,07 3277 4893,https://belong.org.au/what-we-do/community-groups-activities/community-garden/,-27.579563,153.01983,"-27.579563, 153.01983"
Ashgrove Green Corner Community Garden,"Corner Waterworks Road and Jubilee Terrace, Ashgrove",Ashgrove,07 3128 0102,https://communify.org.au/our-community-gardens/,-27.446027,152.98881,"-27.446027, 152.98881"
Aspley Special School and Kingfisher Community Garden,"751 Zillmere Road, Aspley",Aspley,07 3867 2333,https://aspleyspecs.eq.edu.au/facilities/school-grounds-and-classrooms/stephanie-alexander-kitchen-garden-program,-27.356778,153.021571,"-27.356778, 153.021571"
Balaangala Community Group Garden Space,"Corramulling Park - 98 Yoorala Street, The Gap",The Gap,07 3366 9339,https://www.balaangala.org.au/garden/,-27.450308,152.938321,"-27.450308, 152.938321"
Beerlarong Community Farm,"York Street Park - 60 York Street, Morningside",Morningside,0401 168 657,http://www.beelarong.org.au/,-27.460853,153.078296,"-27.460853, 153.078296"
"Beeston Street Indigenous Food Garden, New Farm (Little Patch)","New Farm State School, Corner Beeston and Kingsholme Street, New Farm",New Farm,,https://nfsspandc.com.au/services/garden-club/,-27.45953,153.04634,"-27.45953, 153.04634"
Bethania St Communtiy Garden (Wynnum Manly Community Garden),"38 Bethania Street, Lota",Lota,0439 048 585,https://www.bethaniastreetcommunitygarden.org/,-27.469266,153.184661,"-27.469266, 153.184661"
Bulimba Community Centre Community Garden,"1 Barramul Street, Bulimba",Bulimba,0412 151 371,https://www.bulimbacommunitycentre.com.au/whats-on/,-27.453362,153.057803,"-27.453362, 153.057803"
Bulimba Creek Catchment Community Garden,"1358 Old Cleveland Road (entrance off Wright Street), Carindale",Carindale,07 3398 8003,https://bulimbacreek.org.au/activities/community-gardens-carindale/,-27.501788,153.122034,"-27.501788, 153.122034"
Burnie Brae Community Garden,"60 Kuran Street, Chermside",Chermside,07 3624 2121,https://www.facebook.com/burniebrae/,-27.389916,153.035021,"-27.389916, 153.035021"
Chapel Hill Community Garden,"Russell Terrace, Chapel Hill",Chapel Hill,07 3510 2700,https://communify.org.au/our-community-gardens/,-27.493978,152.956478,"-27.493978, 152.956478"
Church of the Annunciation Community Garden Group,"101 Watson Street, Camp Hill",Camp Hill,07 3398 5944,https://www.annunciation.org.au/,-27.488002,153.068938,"-27.488002, 153.068938"
