OBJECTID,HASTUS,DESCRIPTION,STREETNAME,ADJ_PROPERTY_ADDRESS,SUBURB,EASTING,NORTHING,LATITUDE,LONGITUDE,STATUS,STATUS_DATE,SERVICE_TYPE,FARE_ZONE,MOORING,MOORING_PONTOON,PONTOON_LENGTH,PONTOON_WIDTH,PONTOON_MATERIAL,BOARDING_GATES,DDA_COMPLIANT,GANGWAY_LENGTH,GANGWAY_WIDTH,GANGWAY_LEVEL_LANDING,PIER_PILES,WAITING_AREA_WALK_WAYS,SEAT_PRESENT,DRINKING_FOUNTAIN_PRESENT,TGSI_PRESENT,HERITAGE_BUILDING,CCTV,EMERGENCY_CALL_POINT,ACCESSIBILITY,ACCESS_NOTES,PARKING,NEARBY_BUS_SERVICES,AUDIT_REFERENCE,LAST_INSPECTION_DATE,BRAILLE_SIGNAGE_PRESENT,LIGHTING_TYPE,BIKE_RACK,LIFT_ACCESS,ACCESSIBLE_TOILET,TOILET,ACCESSIBLE_LOADING_ZONE,ACCESSIBLE_PARKING,TICKETING,URL_TERMINAL_QUERY,geo_shape,geo_point_2d
1,319665,UQ St Lucia ferry terminal,Sir William Macgregor Drive,342 Carmody Road,St Lucia,501931.56,6958543.02,-27.496751,153.019555,ACTIVE,2024-02-19T11:00:00+10:00,CityCat,1,Yes,No,37.0,9.5,Steel,2,Yes,22.0,3.7,Yes,PIER,Yes,Yes,No,Yes,No,Yes,Yes,Disabled Access,Wheelchair Access,Yes - on-street restricted,Yes,CA24/773063,2024-02-19T11:00:00+10:00,Yes,LED,No,No,Toilet available on CityCat ferries,No,Yes,No,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/319665,"{""coordinates"": [153.01956108004282, -27.496737487750927], ""type"": ""Point""}","-27.496737487750927, 153.01956108004282"
2,317574,West End ferry terminal,Hoogley Street,55 Hoogley Street,West End,500318.37,6959246.99,-27.490396,153.003223,ACTIVE,2024-02-22T11:00:00+10:00,CityCat,1,Yes,No,19.5,6.0,Steel,2,Yes,23.0,3.1,No,PILES,Yes,Yes,No,Yes,No,Yes,Yes,Disabled Access,Wheelchair Access,Yes - on-street,Yes,CA24/774598,2024-02-22T11:00:00+10:00,No,LED,Yes,No,Toilet available on CityCat ferries,Yes - Accessible,No,No,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/317574,"{""coordinates"": [153.00322901615974, -27.49038341049795], ""type"": ""Point""}","-27.49038341049795, 153.00322901615974"
3,317572,Guyatt Park ferry terminal,Macquarie Street,46 Hiron Street,St Lucia,500216.72,6959028.78,-27.492366,153.002194,ACTIVE,2024-02-19T11:00:00+10:00,CityCat,1,No,No,31.0,17.0,Steel,2,Yes,24.0,4.0,Yes,PILES,Yes,Yes,Yes,Yes,No,Yes,Yes,Disabled Access,Wheelchair Access,Yes - limited and on-street,Yes,CA24/773117,2024-02-19T11:00:00+10:00,Yes,LED,Yes,No,Toilet available on CityCat ferries,No - Nearby in park,Yes,Yes,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/317572,"{""coordinates"": [153.00220001294747, -27.492353421945104], ""type"": ""Point""}","-27.492353421945104, 153.00220001294747"
4,317571,Regatta ferry terminal,Coronation Drive,566 Coronation Drive,Toowong,499692.57,6960032.55,-27.483304,152.996888,ACTIVE,2024-02-20T11:00:00+10:00,CityCat,1,No,No,37.0,9.5,Steel,3,Yes,16.5,3.7,Yes,PIER,Yes,Yes,No,Yes,No,Yes,Yes,Disabled Access,Wheelchair Access,No,Yes,CA24/773161,2024-02-20T11:00:00+10:00,Yes,LED,Yes,No,Toilet available on CityCat ferries,No,No,No,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/317571,"{""coordinates"": [152.99689400254294, -27.483291402147103], ""type"": ""Point""}","-27.483291402147103, 152.99689400254294"
5,319586,Milton ferry terminal,Coronation Drive,299 Coronation Drive,Milton,500543.38,6961096.45,-27.473699,153.0055,ACTIVE,2024-02-20T11:00:00+10:00,CityCat,1,No,No,37.0,9.5,Steel,3,Yes,16.5,3.7,Yes,PIER,No,Yes,No,Yes,No,Yes,Yes,Disabled Access,Wheelchair Access,No,Yes,CA24/773085,2024-02-20T11:00:00+10:00,Yes,LED,No,No,Toilet available on CityCat ferries,No,No,No,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/319586,"{""coordinates"": [153.0055060515702, -27.47368646290155], ""type"": ""Point""}","-27.47368646290155, 153.0055060515702"
6,317593,North Quay ferry terminal,Queens Wharf Road,15 Queens Wharf Road,Brisbane City,502226.49,6961196.06,-27.472798,153.022536,ACTIVE,2024-02-21T11:00:00+10:00,CityCat,1,No,No,37.0,9.5,Steel,3,Yes,20.4,3.7,Yes,PIER,Yes,Yes,Yes,Yes,No,Yes,Yes,Disabled Access,Wheelchair Access,No,Yes,CA24/774576,2024-02-21T11:00:00+10:00,Yes,LED,No,Yes,Toilet available on CityCat ferries,No,No,No,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/317593,"{""coordinates"": [153.02254206833584, -27.472785471954218], ""type"": ""Point""}","-27.472785471954218, 153.02254206833584"
7,319637,QUT Gardens Point ferry terminal,Gardens Point Road,59 Gardens Point Road,Brisbane City,502591.8,6960564.51,-27.478499,153.026235,ACTIVE,2024-03-18T11:00:00+10:00,"CityCat, Cross River Ferry",1,No,No,37.0,9.5,Steel,2,Yes,20.0,3.7,Yes,PIER,No,Yes,No,Yes,No,Yes,Yes,Disabled Access,Wheelchair Access,Yes - off-street restricted,No,CA24/571687,2024-03-18T11:00:00+10:00,Yes,LED,No,No,Toilet available on CityCat ferries,No,No,No,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/319637,"{""coordinates"": [153.02624100354936, -27.47848644632227], ""type"": ""Point""}","-27.47848644632227, 153.02624100354936"
8,317578,Maritime Museum ferry terminal,Lower River Terrace,77 Lower River Terrace,Kangaroo Point,502851.34,6960180.53,-27.481965,153.028863,ACTIVE,2024-03-18T11:00:00+10:00,Cross River Ferry,1,No,No,21.0,4.8,Steel,1,Yes,20.4,3.7,Yes,PILES,No,Yes,No,Yes,No,Yes,Yes,Disabled Access,Wheelchair Access,Yes - on-street restricted,No,CA24/571697,2024-03-18T11:00:00+10:00,Yes,LED,No,No,No,No,No,Yes,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/317578,"{""coordinates"": [153.02886904714578, -27.481952488615843], ""type"": ""Point""}","-27.481952488615843, 153.02886904714578"
9,317590,Riverside ferry terminal,Eagle Street,32 Macrossan Street,Brisbane City,503088.35,6961830.02,-27.467073,153.031258,ACTIVE,2024-03-19T11:00:00+10:00,"CityCat, Cross River Ferry",1,Yes,No,64.6,5.0,Steel,4,Yes,23.1,3.7,No,PILES,Yes,Yes,No,Yes,No,Yes,Yes,Disabled Access,Wheelchair Access,No,Yes,CA24/571705,2024-03-19T11:00:00+10:00,No,Mixed,No,No,Toilet available on CityCat ferries,No,No,No,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/317590,"{""coordinates"": [153.031264006717, -27.46706040430053], ""type"": ""Point""}","-27.46706040430053, 153.031264006717"
10,317580,Holman Street ferry terminal,Holman Street,126 Holman Street,Kangaroo Point,503310.01,6961981.04,-27.465709,153.033501,ACTIVE,2024-03-19T11:00:00+10:00,Cross River Ferry,1,No,No,37.0,9.5,Steel,3,Yes,16.5,3.7,Yes,PIER,Yes,Yes,No,Yes,Yes,Yes,Yes,Disabled Access,Wheelchair Access,Yes - on street restricted,No,CA24/571746,2024-03-19T11:00:00+10:00,Yes,LED,Yes,No,No - Nearby in park,No - Nearby in park,Yes,Yes,Contactless and go card payments only – cash not accepted on services.,https://jp.translink.com.au/plan-your-journey/stops/317580,"{""coordinates"": [153.03350707115962, -27.465696475461584], ""type"": ""Point""}","-27.465696475461584, 153.03350707115962"
