Meal,Calories,Protein,Fat,Carbs,Cuisine,Protein,Feedback
Avocado Creamed Spinach,382,18,27,18,Modern Australian,,One serving is very small
Baba Ganoush,107,3,8,10,Mediterranean,none,
Bacon-wrapped Green Bean Bundles,168,5,13,9,Modern Australian,Bacon,These are very tasty and have a lot of bacon flavor
"Bacon, Onion, and Brown Lentil Skillet",269,18,4,38,Mediterranean,Bacon,
Baked Chicken Nuggets,217,39,8,12,Modern Australian,Chicken breast,
Baked Eggplant Parmesan Stacks,128,9,5,13,Italian,Cheese,
Baked Shrimp Taquitos,303,32,12,34,Mexican,Shrimp,
Beef Burgers with Jerk Onions and Cucumber Avocado Salad,421,27,28,22,Modern Australian,Ground beef,
Black Bean Burger,313,16,9,43,Modern Australian,Beans,needs a condiment
Black Bean Fiesta Mason Jar Salad,316,7,17,34,Mexican,Beans,
BLT Macaroni Salad,151,5,4,23,Modern Australian,Bacon,tastes exactly like a BLT with mayo
BLTA Pesto Chicken Salad,357,29,44,4,Modern Australian,Chicken breast,
Blue Cheese Polenta with Vegetables,359,15,14,42,Modern Australian,Cheese,
Brazilian Shrimp Soup,359,24,17,28,South American,Shrimp,
California Grilled Chicken,464,45,21,22,Modern Australian,Chicken breast,Don't burn the chicken or it will be bad
Cheese & Spinach Stuffed Portobellos,185,15,9,12,Italian,Cheese,Delicious!!!
Chicken & Mushrooms in a Garlic White Wine Sauce,220,30,6,10,Italian,Chicken breast,
Chicken Alfredo with Broccoli,429,31,11,51,Italian,Chicken breast,
Chicken Club Avocado Boats,397,29,26,9,Modern Australian,Chicken breast,
Chicken Gyro Bowls,386,24,15,39,Mediterranean,Chicken breast,calculated without the pita
Chicken Helper,418,30,14,48,Italian,Ground chicken,Easy way to use up leftover ground chicken
Chicken Panang Curry Noodle Bowls,468,23,26,25,Asian,Chicken thigh,
Chicken Parmesan Soup,360,19,12,46,Italian,Chicken breast,
Chicken Pesto Bake,109,14,18,2,Italian,Chicken breast,
Chicken Rollatini with Spinach,428,43,22,11,Italian,Chicken breast,
Chicken Spinach Soup,233,20,1,39,Modern Australian,Chicken breast,
