OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT,geo_shape,geo_point_2d
1,200536457,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N013,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.96984672094038,-27.46892473192794,"{""coordinates"": [152.96984672094038, -27.46892473192794], ""type"": ""Point""}","-27.46892473192794, 152.96984672094038"
2,200503632,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1871-N005,D0281,SANDGATE THIRD LAGOON RESERVE,BRIGHTON,WOOD FIRED,1,153.05450707536716,-27.30954428670248,"{""coordinates"": [153.05450707536716, -27.30954428670248], ""type"": ""Point""}","-27.30954428670248, 153.05450707536716"
3,100281834,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1982-N008,D0166,ASCOT PARK,ASCOT,MAINS POWER,2,153.0629399048269,-27.43024805629678,"{""coordinates"": [153.0629399048269, -27.43024805629678], ""type"": ""Point""}","-27.43024805629678, 153.0629399048269"
4,200473814,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N011,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.94382801857103,-27.4652748815511,"{""coordinates"": [152.94382801857103, -27.4652748815511], ""type"": ""Point""}","-27.4652748815511, 152.94382801857103"
5,100083817,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1851-N002,D0059,CHESTER PARK RESERVE,MOUNT GRAVATT EAST,WOOD FIRED,1,153.08376001111543,-27.52776127278401,"{""coordinates"": [153.08376001111543, -27.52776127278401], ""type"": ""Point""}","-27.52776127278401, 153.08376001111543"
6,200479679,BBQ - WOOD DOUBLE,BARBEQUE,B-RE-1990-N004,D0242,JOSEPH LEE PARK,ZILLMERE,WOOD FIRED,2,153.04775570660547,-27.353104597462604,"{""coordinates"": [153.04775570660547, -27.353104597462604], ""type"": ""Point""}","-27.353104597462604, 153.04775570660547"
7,200525234,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2541-N003,D1090,FIDDLEWOOD CRESCENT PARK,BELLBOWRIE,WOOD FIRED,1,152.8792129646575,-27.56686007135081,"{""coordinates"": [152.8792129646575, -27.56686007135081], ""type"": ""Point""}","-27.56686007135081, 152.8792129646575"
8,200474253,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2420-N003,D0848,LORIKEET PARK (ALGESTER),ALGESTER,WOOD FIRED,1,153.04170735774525,-27.603909503573966,"{""coordinates"": [153.04170735774525, -27.603909503573966], ""type"": ""Point""}","-27.603909503573966, 153.04170735774525"
9,200555385,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1460-N003,D0382,ROWLINSON PARK,YERONGA,WOOD FIRED,1,153.01425304983962,-27.51973837455048,"{""coordinates"": [153.01425304983962, -27.51973837455048], ""type"": ""Point""}","-27.51973837455048, 153.01425304983962"
10,100088356,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2463-N005,D0806,CARINYA STREET PARK,INDOOROOPILLY,WOOD FIRED,1,152.9638323446284,-27.49502941135925,"{""coordinates"": [152.9638323446284, -27.49502941135925], ""type"": ""Point""}","-27.49502941135925, 152.9638323446284"
11,100083528,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1182-N004,D3293,PASK FAMILY PARK,ROCHEDALE,MAINS POWER,2,153.11640756033714,-27.57454882218912,"{""coordinates"": [153.11640756033714, -27.57454882218912], ""type"": ""Point""}","-27.57454882218912, 153.11640756033714"
12,100101987,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2605-N001,D1044,SETTLERS PARK,SINNAMON PARK,WOOD FIRED,1,152.9425512385642,-27.552811595858262,"{""coordinates"": [152.9425512385642, -27.552811595858262], ""type"": ""Point""}","-27.552811595858262, 152.9425512385642"
13,200528667,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1727-N003,D0106,TARANA STREET PARK,CAMP HILL,WOOD FIRED,1,153.07326433024463,-27.495018541766164,"{""coordinates"": [153.07326433024463, -27.495018541766164], ""type"": ""Point""}","-27.495018541766164, 153.07326433024463"
14,200484402,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1872-N003,D0280,WAKEFIELD PARK,BRIGHTON,MAINS POWER,1,153.04946141045903,-27.301965261069373,"{""coordinates"": [153.04946141045903, -27.301965261069373], ""type"": ""Point""}","-27.301965261069373, 153.04946141045903"
15,200470343,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1817-N002,D0004,JACARANDA PARK,YERONGA,WOOD FIRED,1,153.0048153353953,-27.507743429040357,"{""coordinates"": [153.0048153353953, -27.507743429040357], ""type"": ""Point""}","-27.507743429040357, 153.0048153353953"
16,100092418,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1977-N003,D0171,CAMERON ROCKS RESERVE,HAMILTON,MAINS POWER,2,153.04894903398062,-27.440599009228198,"{""coordinates"": [153.04894903398062, -27.440599009228198], ""type"": ""Point""}","-27.440599009228198, 153.04894903398062"
17,200559339,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2399-N005,D0824,GRACEVILLE RIVERSIDE PARKLANDS,GRACEVILLE,WOOD FIRED,1,152.993915799866,-27.523837984995488,"{""coordinates"": [152.993915799866, -27.523837984995488], ""type"": ""Point""}","-27.523837984995488, 152.993915799866"
18,100119402,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2099-N029,D1279,THE LAKE PARKLANDS,FOREST LAKE,MAINS POWER,2,152.9622233376546,-27.625283203036297,"{""coordinates"": [152.9622233376546, -27.625283203036297], ""type"": ""Point""}","-27.625283203036297, 152.9622233376546"
